,real_representative,real_representative,real_representative,real_representative,simulated_matched_eta_0p025,simulated_matched_eta_0p025,simulated_matched_eta_0p025,simulated_matched_eta_0p025
,peak_mV,integral_mVns,width_ns,rms_mV,peak_mV,integral_mVns,width_ns,rms_mV
count,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0
mean,2228.351215095,2225497.4167963103,741.3333333333334,2225.0146407879015,7.754914804234758,1003.5624079787823,90.0,2.1269724158402115
std,4067.1988012817765,4062295.6675297003,448.0238088911496,4061.3483497867915,10.432646792857277,1368.5116874978348,4.0,2.8893335060638847
min,0.17019,-20.1635666883137,224.0,0.026796746760412583,1.6742059956261763,212.02022703777098,88.0,0.448545360448513
25%,0.5935502850000001,180.4534584122204,612.0,0.2174837823473877,2.5847476098595696,328.631351908545,88.0,0.7018567532701057
50%,299.36733519,298863.5673372596,1000.0,298.8243796266204,2.9847385206324395,374.5690677667287,88.0,0.8028327495508469
75%,2527.125,2524180.530675158,1000.0,2523.621536632175,8.15490571500763,1049.5001238369662,90.0,2.227948412120953
max,8314.5,8304282.696077411,1000.0,8302.383007151606,23.375976180047978,3053.091269343901,96.0,6.453678803810639
